,steps,numpy,base
451,905,0.00011091881571181667,0.00010068483285327342
452,907,7.772782428219217e-05,9.88482457121011e-05
453,909,8.223522000272559e-05,0.00010839558571335926
454,911,8.272860428405693e-05,0.0001089747728526293
455,913,8.107322999941452e-05,9.752950856636744e-05
456,915,8.219629285511993e-05,0.00011135392428643952
457,917,8.607929428243162e-05,0.0001321223342893063
458,919,8.217596285508729e-05,0.00011121257857407078
459,921,9.066182571457051e-05,0.00011222963571656561
460,923,8.098343428563177e-05,9.665652428468873e-05
461,925,7.978476428304151e-05,0.00010047892000199811
462,927,7.948456571414552e-05,9.819100856735271e-05
463,929,0.00010465035429141218,9.764904428655947e-05
464,931,7.739445428731934e-05,9.898450428538905e-05
465,933,8.058870999905463e-05,0.00010066571000217143
466,935,7.911895999963496e-05,9.89661542839063e-05
467,937,8.156195000213172e-05,0.00010168299428187312
468,939,7.969477714401105e-05,9.986522857486438e-05
469,941,8.055863142934477e-05,0.00010076353571743571
470,943,8.243425428840314e-05,9.911416285831364e-05
471,945,8.418317286019114e-05,0.00010577872285596511
472,947,0.00010639403142704395,9.99363128643641e-05
473,949,8.310004714335914e-05,0.00010095473714110474
474,951,8.372768428671408e-05,0.00010201297142495085
475,953,8.364848285054904e-05,0.00010278618428076567
476,955,8.342947856622882e-05,0.00010222880571486062
477,957,8.34727971414395e-05,0.00010885247142661162
478,959,9.808598285547175e-05,0.0001903587928531384
479,961,8.931655428438846e-05,0.00010469362285740706
480,963,8.449279285352013e-05,0.00010085137999859788
481,965,8.388346714387547e-05,0.00010566514571369874
482,967,7.918080285370317e-05,0.00010103900428605681
483,969,8.339818857036465e-05,0.00010261467429050495
484,971,8.218847714358292e-05,0.00010192311571829903
485,973,8.295705571072176e-05,0.00010375510142953967
486,975,8.059327143200788e-05,0.00010225414142561411
487,977,8.41516014276879e-05,0.00010339862857238456
488,979,8.029762857144565e-05,0.00010284925428485232
489,981,8.271684571289891e-05,0.00010518393571276518
490,983,8.164602714324637e-05,0.00010480334428523618
491,985,8.336154571484907e-05,0.00010433056428415251
492,987,8.579784571338678e-05,0.00010400720285230949
493,989,9.20089785748652e-05,0.00010790589143393195
494,991,8.550494999976114e-05,0.00010425634286158519
495,993,8.574224856991868e-05,0.00010457248143211473
496,995,8.610259857180478e-05,0.00010629071857692907
497,997,8.760237714211274e-05,0.00010584437142824755
498,999,9.193974857355768e-05,0.00010725102000443648
499,1001,8.781759143208286e-05,0.00010540792571711271
500,1003,8.889503999723404e-05,0.0001059987685688871
501,1005,9.372551857398191e-05,0.00010759602857173637
502,1007,9.093585429062452e-05,0.00010767180428956635
503,1009,8.801564571123371e-05,0.0001095112028607608
504,1011,9.419729857264819e-05,0.00010772097857365485
505,1013,8.750075428906712e-05,0.00010625092142748014
506,1015,8.819757285371971e-05,0.00010729919000108826
507,1017,8.527887142918189e-05,0.00010690984714528894
508,1019,9.238659571305365e-05,0.000110069680000119
509,1021,8.774120714016525e-05,0.00010761355714359005
510,1023,9.094726285444007e-05,0.00011311840571319668
511,1025,8.838981143136542e-05,0.00010992337857585102
512,1027,9.321907000412465e-05,0.00011051179571430631
513,1029,9.338490999912861e-05,0.0001109593571397584
514,1031,9.191296285799971e-05,0.00011382193571470064
515,1033,8.639767571366976e-05,0.00011100240428277175
516,1035,9.40338771475321e-05,0.00011168561285688026
517,1037,9.408216285789553e-05,0.00011362614142594143
518,1039,8.736857571160986e-05,0.00011074862857120544
519,1041,9.557713428616159e-05,0.00011130994284810315
520,1043,8.606005714162685e-05,0.00011092716285669927
521,1045,8.718715286054897e-05,0.00011232784714593434
522,1047,8.636959714099897e-05,0.00011055172285393512
523,1049,8.752579571332069e-05,0.00011069705285990494
524,1051,8.708476428572405e-05,0.00011329862000171228
525,1053,8.822019713988995e-05,0.00011048766714468782
526,1055,8.785405143238936e-05,0.00011037967999852428
527,1057,8.472279856505338e-05,0.00011073278286338402
528,1059,8.855080856457269e-05,0.0001122714814300707
529,1061,8.559671000122242e-05,0.00011036934285584721
